id,loan_status,aproval_prob
58920,0,0.172
58921,0,0.0087
58922,0,0.0354
58923,0,0.0073
58924,0,0.024
58925,0,0.0159
58926,0,0.07
58927,0,0.0182
58928,0,0.0819
58929,0,0.0018
58930,0,0.0186
58931,1,0.9428
58932,1,0.9462
58933,0,0.3241
58934,0,0.0404
58935,0,0.0171
58936,0,0.0341
58937,0,0.0187
58938,0,0.031
58939,0,0.0057
58940,0,0.0113
58941,1,0.9815
58942,1,0.9101
58943,0,0.0547
58944,0,0.0134
58945,0,0.028
58946,0,0.0277
58947,0,0.0109
58948,0,0.0548
58949,0,0.005
58950,0,0.3693
58951,0,0.0408
58952,0,0.0082
58953,0,0.0229
58954,1,0.976
58955,0,0.0188
58956,0,0.0027
58957,1,0.9796
58958,1,0.99
58959,0,0.0334
58960,0,0.023
58961,0,0.0051
58962,0,0.1962
58963,0,0.0448
58964,0,0.0327
58965,0,0.0267
58966,0,0.02
58967,0,0.0094
58968,0,0.0099
58969,0,0.3604
58970,0,0.0037
58971,0,0.1091
58972,0,0.0611
58973,1,0.9659
58974,0,0.0231
58975,0,0.0637
58976,0,0.0388
58977,0,0.0533
58978,0,0.0285
58979,0,0.0214
58980,0,0.0112
58981,0,0.0023
58982,0,0.0046
58983,0,0.0053
58984,0,0.0112
58985,0,0.0435
58986,1,0.9681
58987,0,0.0065
58988,0,0.0321
58989,0,0.027
58990,0,0.0026
58991,0,0.0208
58992,0,0.0175
58993,0,0.0036
58994,0,0.016
58995,1,0.9858
58996,0,0.0268
58997,1,0.9392
58998,0,0.0049
58999,0,0.0133
59000,0,0.0793
59001,0,0.1851
59002,0,0.0234
59003,0,0.0807
59004,0,0.0397
59005,0,0.0041
59006,0,0.0381
59007,0,0.0287
59008,1,0.9736
59009,0,0.0183
59010,0,0.0064
59011,0,0.0183
59012,0,0.0143
59013,0,0.0063
59014,0,0.0117
59015,0,0.0765
59016,0,0.0105
59017,0,0.0153
59018,0,0.0393
59019,0,0.0071
59020,0,0.0042
59021,0,0.0243
59022,0,0.087
59023,1,0.9585
59024,0,0.0288
59025,1,0.9739
59026,0,0.0104
59027,0,0.0121
59028,0,0.0219
59029,0,0.0128
59030,0,0.0086
59031,1,0.5439
59032,1,0.5105
59033,0,0.1997
59034,0,0.0942
59035,0,0.0089
59036,0,0.0692
59037,0,0.0955
59038,0,0.012
59039,0,0.0215
59040,0,0.0231
59041,0,0.0213
59042,0,0.044
59043,1,0.9288
59044,0,0.0075
59045,0,0.0242
59046,0,0.2503
59047,0,0.2713
59048,0,0.0088
59049,0,0.0326
59050,0,0.0049
59051,0,0.0417
59052,0,0.0051
59053,0,0.0355
59054,0,0.0544
59055,0,0.0445
59056,0,0.0063
59057,1,0.9076
59058,0,0.005
59059,0,0.1908
59060,0,0.0034
59061,0,0.0039
59062,0,0.0183
59063,0,0.0017
59064,0,0.0179
59065,0,0.0022
59066,0,0.0479
59067,0,0.0067
59068,0,0.017
59069,0,0.041
59070,0,0.0102
59071,0,0.0566
59072,0,0.0156
59073,1,0.965
59074,0,0.0229
59075,0,0.0876
59076,0,0.0204
59077,1,0.9823
59078,0,0.061
59079,0,0.0386
59080,0,0.0079
59081,0,0.0202
59082,0,0.0436
59083,0,0.0072
59084,0,0.0022
59085,0,0.0485
59086,0,0.109
59087,0,0.0922
59088,0,0.0632
59089,0,0.0633
59090,0,0.0418
59091,0,0.0019
59092,0,0.0936
59093,0,0.0224
59094,0,0.0176
59095,0,0.0013
59096,1,0.9661
59097,0,0.0744
59098,0,0.0303
59099,0,0.0088
59100,0,0.0059
59101,0,0.0085
59102,0,0.0342
59103,0,0.0449
59104,0,0.0044
59105,0,0.0464
59106,0,0.0024
59107,0,0.0612
59108,0,0.041
59109,0,0.0481
59110,0,0.0136
59111,0,0.0078
59112,0,0.0232
59113,1,0.9781
59114,0,0.0343
59115,0,0.1377
59116,0,0.0026
59117,0,0.0104
59118,0,0.0182
59119,0,0.0167
59120,0,0.0055
59121,0,0.0071
59122,0,0.054
59123,1,0.9849
59124,1,0.899
59125,0,0.0555
59126,1,0.9258
59127,0,0.0113
59128,0,0.0245
59129,0,0.0242
59130,0,0.0113
59131,0,0.0342
59132,0,0.1641
59133,1,0.7726
59134,0,0.0287
59135,0,0.0008
59136,0,0.0061
59137,0,0.0244
59138,0,0.0104
59139,0,0.0056
59140,0,0.0329
59141,1,0.9743
59142,0,0.1935
59143,0,0.0244
59144,0,0.0138
59145,0,0.0368
59146,0,0.2111
59147,0,0.0233
59148,0,0.024
59149,0,0.0137
59150,0,0.0111
59151,0,0.0201
59152,0,0.0272
59153,0,0.0038
59154,0,0.0514
59155,0,0.0497
59156,0,0.0988
59157,0,0.0212
59158,0,0.0414
59159,0,0.0133
59160,0,0.0468
59161,0,0.0067
59162,0,0.0109
59163,0,0.019
59164,0,0.0297
59165,0,0.1077
59166,0,0.0029
59167,0,0.0187
59168,0,0.1492
59169,1,0.9513
59170,0,0.0185
59171,0,0.0091
59172,0,0.1882
59173,0,0.0053
59174,0,0.0076
59175,0,0.0121
59176,0,0.0416
59177,0,0.0094
59178,0,0.0069
59179,0,0.0094
59180,0,0.1177
59181,0,0.1722
59182,1,0.9556
59183,0,0.0222
59184,0,0.0451
59185,0,0.0969
59186,0,0.0177
59187,0,0.0075
59188,0,0.0279
59189,0,0.0232
59190,0,0.0047
59191,0,0.0842
59192,0,0.1928
59193,0,0.0089
59194,0,0.14
59195,0,0.0234
59196,0,0.0461
59197,0,0.0374
59198,0,0.1206
59199,0,0.0024
59200,1,0.9887
59201,0,0.0085
59202,0,0.0268
59203,1,0.5481
59204,0,0.0174
59205,0,0.009
59206,0,0.0089
59207,0,0.0243
59208,0,0.0066
59209,0,0.0056
59210,0,0.022
59211,0,0.0297
59212,0,0.0302
59213,0,0.1126
59214,0,0.0533
59215,0,0.0074
59216,0,0.0363
59217,0,0.0069
59218,0,0.0044
59219,0,0.0124
59220,1,0.912
59221,1,0.8948
59222,0,0.0181
59223,0,0.0164
59224,0,0.3552
59225,0,0.0072
59226,0,0.0054
59227,0,0.1301
59228,0,0.2553
59229,0,0.0026
59230,0,0.0083
59231,0,0.0024
59232,0,0.0936
59233,0,0.0164
59234,0,0.0514
59235,0,0.0051
59236,0,0.1149
59237,0,0.0335
59238,0,0.007
59239,0,0.0844
59240,0,0.0073
59241,0,0.0178
59242,0,0.042
59243,1,0.9828
59244,0,0.0169
59245,1,0.9261
59246,0,0.0177
59247,0,0.0217
59248,0,0.0066
59249,0,0.1381
59250,0,0.1901
59251,0,0.0477
59252,0,0.0238
59253,0,0.0862
59254,0,0.0207
59255,0,0.0072
59256,0,0.0022
59257,1,0.99
59258,0,0.0076
59259,1,0.9914
59260,0,0.0127
59261,0,0.0193
59262,0,0.0785
59263,0,0.0011
59264,0,0.0426
59265,0,0.4546
59266,0,0.0445
59267,0,0.1555
59268,0,0.0348
59269,0,0.0062
59270,1,0.9809
59271,0,0.0057
59272,1,0.9715
59273,0,0.0176
59274,0,0.0771
59275,0,0.0177
59276,0,0.0475
59277,0,0.0086
59278,0,0.0541
59279,0,0.0065
59280,0,0.0179
59281,0,0.0489
59282,0,0.0114
59283,0,0.0143
59284,0,0.0054
59285,0,0.0325
59286,0,0.0397
59287,0,0.0495
59288,1,0.9833
59289,0,0.0079
59290,0,0.0516
59291,0,0.0524
59292,0,0.0014
59293,0,0.0192
59294,1,0.9703
59295,0,0.2217
59296,0,0.0056
59297,0,0.0114
59298,0,0.0149
59299,0,0.0203
59300,0,0.0338
59301,0,0.0244
59302,0,0.0278
59303,0,0.0351
59304,0,0.0206
59305,0,0.1592
59306,0,0.0226
59307,0,0.0108
59308,0,0.0071
59309,0,0.012
59310,0,0.0067
59311,0,0.0651
59312,0,0.0537
59313,1,0.9021
59314,0,0.301
59315,0,0.0089
59316,0,0.1908
59317,0,0.0461
59318,0,0.0111
59319,0,0.0643
59320,0,0.014
59321,0,0.0368
59322,0,0.1271
59323,0,0.0605
59324,1,0.8273
59325,0,0.0174
59326,0,0.0157
59327,0,0.0372
59328,0,0.0115
59329,0,0.0228
59330,0,0.0721
59331,0,0.0194
59332,0,0.0156
59333,0,0.0058
59334,0,0.0359
59335,0,0.0148
59336,0,0.0491
59337,0,0.0131
59338,0,0.059
59339,0,0.2025
59340,1,0.5768
59341,0,0.0666
59342,0,0.1429
59343,0,0.0046
59344,0,0.0453
59345,0,0.0152
59346,0,0.0105
59347,0,0.0905
59348,0,0.0152
59349,0,0.0411
59350,0,0.0115
59351,0,0.0395
59352,0,0.0825
59353,1,0.9398
59354,1,0.9435
59355,0,0.0014
59356,0,0.0207
59357,0,0.0094
59358,0,0.0265
59359,0,0.017
59360,1,0.9608
59361,0,0.0089
59362,0,0.1348
59363,0,0.0021
59364,0,0.0049
59365,0,0.006
59366,0,0.0099
59367,0,0.0406
59368,1,0.9304
59369,0,0.0393
59370,0,0.0091
59371,0,0.0117
59372,0,0.3327
59373,0,0.0437
59374,0,0.0128
59375,1,0.957
59376,1,0.9535
59377,0,0.3112
59378,0,0.0967
59379,0,0.0171
59380,0,0.0366
59381,0,0.0124
59382,0,0.086
59383,1,0.9566
59384,0,0.0205
59385,0,0.0102
59386,0,0.1079
59387,1,0.9787
59388,0,0.2575
59389,0,0.0602
59390,0,0.0466
59391,0,0.0595
59392,0,0.2557
59393,1,0.9598
59394,1,0.9159
59395,0,0.081
59396,0,0.0236
59397,0,0.018
59398,0,0.0082
59399,0,0.0146
59400,0,0.0376
59401,0,0.0263
59402,0,0.1248
59403,0,0.016
59404,0,0.022
59405,0,0.0114
59406,0,0.016
59407,0,0.0364
59408,0,0.0571
59409,0,0.022
59410,0,0.0057
59411,0,0.0105
59412,0,0.0125
59413,0,0.002
59414,0,0.054
59415,0,0.0205
59416,0,0.0126
59417,0,0.0072
59418,0,0.0053
59419,0,0.0018
59420,0,0.1485
59421,0,0.2521
59422,0,0.0443
59423,0,0.0535
59424,1,0.9585
59425,0,0.0992
59426,0,0.008
59427,0,0.0071
59428,0,0.0792
59429,0,0.0074
59430,0,0.0047
59431,0,0.0204
59432,0,0.0063
59433,0,0.0277
59434,0,0.0042
59435,0,0.0013
59436,0,0.0026
59437,0,0.0114
59438,1,0.6438
59439,0,0.0485
59440,0,0.0046
59441,0,0.0195
59442,0,0.0028
59443,0,0.0041
59444,0,0.0574
59445,0,0.0466
59446,0,0.0439
59447,0,0.0119
59448,0,0.011
59449,0,0.0297
59450,0,0.0415
59451,1,0.9648
59452,0,0.037
59453,0,0.0218
59454,0,0.0463
59455,0,0.0373
59456,0,0.0291
59457,1,0.9748
59458,0,0.0764
59459,0,0.1822
59460,0,0.0704
59461,0,0.006
59462,1,0.8965
59463,0,0.0049
59464,0,0.3058
59465,0,0.0741
59466,0,0.0611
59467,0,0.0302
59468,0,0.0031
59469,0,0.0127
59470,0,0.0018
59471,0,0.006
59472,0,0.1122
59473,0,0.0406
59474,0,0.0123
59475,0,0.0507
59476,0,0.0127
59477,0,0.0389
59478,0,0.0143
59479,0,0.022
59480,0,0.0122
59481,0,0.0973
59482,1,0.9659
59483,0,0.009
59484,0,0.0056
59485,0,0.0185
59486,0,0.0917
59487,0,0.009
59488,0,0.0296
59489,0,0.0263
59490,0,0.0122
59491,1,0.9757
59492,0,0.0083
59493,0,0.0162
59494,0,0.0059
59495,1,0.796
59496,0,0.0147
59497,1,0.9648
59498,0,0.0519
59499,0,0.1481
59500,1,0.9765
59501,0,0.0259
59502,1,0.9297
59503,0,0.2013
59504,0,0.0063
59505,0,0.0652
59506,0,0.0042
59507,0,0.0078
59508,0,0.0299
59509,0,0.0351
59510,0,0.059
59511,0,0.0056
59512,0,0.0057
59513,0,0.151
59514,0,0.0089
59515,0,0.0118
59516,0,0.0222
59517,1,0.7804
59518,0,0.0099
59519,0,0.0041
59520,0,0.0192
59521,0,0.024
59522,0,0.0721
59523,0,0.0039
59524,0,0.0066
59525,1,0.8417
59526,0,0.176
59527,0,0.0201
59528,0,0.0501
59529,0,0.0466
59530,1,0.9388
59531,0,0.0076
59532,0,0.0008
59533,0,0.0505
59534,0,0.047
59535,0,0.02
59536,0,0.0465
59537,0,0.0284
59538,0,0.0859
59539,0,0.03
59540,1,0.8302
59541,0,0.0144
59542,0,0.0488
59543,0,0.0553
59544,0,0.0635
59545,0,0.0404
59546,0,0.0568
59547,0,0.0235
59548,0,0.0069
59549,0,0.0285
59550,0,0.012
59551,0,0.0148
59552,0,0.0086
59553,0,0.0212
59554,1,0.9232
59555,0,0.0149
59556,0,0.0056
59557,0,0.004
59558,0,0.0378
59559,0,0.0185
59560,0,0.0032
59561,0,0.0086
59562,0,0.1055
59563,0,0.03
59564,0,0.2098
59565,0,0.0166
59566,0,0.0342
59567,0,0.026
59568,0,0.0035
59569,0,0.0038
59570,0,0.0544
59571,0,0.0482
59572,0,0.0169
59573,0,0.0293
59574,1,0.9194
59575,0,0.0379
59576,0,0.0153
59577,0,0.0781
59578,1,0.8714
59579,0,0.005
59580,0,0.014
59581,0,0.0096
59582,0,0.0167
59583,0,0.0177
59584,0,0.0027
59585,0,0.0164
59586,0,0.0127
59587,0,0.0083
59588,0,0.1306
59589,0,0.0472
59590,0,0.0055
59591,0,0.0477
59592,0,0.0341
59593,0,0.0098
59594,0,0.1636
59595,0,0.0155
59596,0,0.1348
59597,1,0.9537
59598,0,0.0338
59599,0,0.0816
59600,1,0.9275
59601,0,0.002
59602,0,0.1092
59603,0,0.0736
59604,0,0.0223
59605,0,0.0028
59606,0,0.0578
59607,0,0.0596
59608,0,0.0255
59609,0,0.0074
59610,1,0.951
59611,0,0.014
59612,1,0.9747
59613,0,0.2932
59614,0,0.3149
59615,0,0.0242
59616,0,0.0511
59617,0,0.0541
59618,0,0.0984
59619,0,0.015
59620,0,0.0082
59621,0,0.0261
59622,0,0.0122
59623,0,0.0744
59624,0,0.0602
59625,0,0.0153
59626,0,0.0174
59627,0,0.0738
59628,0,0.0059
59629,0,0.0028
59630,0,0.0682
59631,0,0.0026
59632,0,0.0115
59633,0,0.0134
59634,0,0.0065
59635,0,0.0125
59636,0,0.0827
59637,0,0.0475
59638,1,0.973
59639,0,0.0069
59640,0,0.0099
59641,0,0.0151
59642,0,0.0081
59643,0,0.0708
59644,0,0.0348
59645,0,0.2059
59646,0,0.013
59647,1,0.9414
59648,0,0.0087
59649,0,0.0146
59650,0,0.0046
59651,0,0.0062
59652,0,0.014
59653,0,0.0093
59654,0,0.095
59655,0,0.0235
59656,0,0.1338
59657,1,0.9156
59658,0,0.0052
59659,0,0.032
59660,0,0.1035
59661,0,0.0736
59662,1,0.9414
59663,0,0.0528
59664,0,0.0441
59665,0,0.0304
59666,0,0.032
59667,0,0.0116
59668,0,0.0195
59669,0,0.0088
59670,0,0.0809
59671,0,0.0078
59672,0,0.0091
59673,0,0.0177
59674,1,0.6566
59675,0,0.0012
59676,0,0.0855
59677,1,0.9391
59678,0,0.0087
59679,0,0.0235
59680,0,0.0062
59681,0,0.0263
59682,0,0.0363
59683,0,0.0072
59684,0,0.0333
59685,0,0.0301
59686,0,0.2805
59687,0,0.0246
59688,0,0.0227
59689,0,0.158
59690,0,0.0018
59691,0,0.0173
59692,0,0.0741
59693,0,0.0142
59694,0,0.0557
59695,0,0.0148
59696,1,0.9267
59697,0,0.0047
59698,0,0.0185
59699,0,0.0145
59700,0,0.0432
59701,0,0.0054
59702,0,0.0152
59703,0,0.0289
59704,0,0.007
59705,0,0.0843
59706,0,0.0145
59707,0,0.0195
59708,0,0.0359
59709,0,0.0437
59710,0,0.0308
59711,0,0.0613
59712,0,0.0086
59713,0,0.0629
59714,1,0.9425
59715,1,0.8822
59716,0,0.0303
59717,0,0.0057
59718,0,0.0354
59719,1,0.9541
59720,0,0.0151
59721,1,0.79
59722,0,0.0174
59723,0,0.0116
59724,0,0.0946
59725,0,0.0244
59726,0,0.0066
59727,0,0.0603
59728,0,0.0057
59729,0,0.0021
59730,0,0.0829
59731,0,0.0222
59732,0,0.0157
59733,0,0.0158
59734,0,0.033
59735,0,0.0044
59736,0,0.1602
59737,0,0.0077
59738,0,0.1516
59739,0,0.0196
59740,0,0.0136
59741,0,0.0107
59742,0,0.1903
59743,0,0.0208
59744,0,0.0789
59745,0,0.0143
59746,0,0.0531
59747,1,0.99
59748,0,0.028
59749,0,0.0232
59750,0,0.1116
59751,0,0.0101
59752,0,0.0227
59753,0,0.0125
59754,0,0.0047
59755,0,0.0584
59756,0,0.0125
59757,0,0.0143
59758,0,0.0611
59759,0,0.0204
59760,0,0.0191
59761,0,0.0293
59762,0,0.177
59763,0,0.0014
59764,0,0.2778
59765,0,0.0201
59766,0,0.1209
59767,0,0.0319
59768,0,0.0034
59769,0,0.0188
59770,0,0.0794
59771,0,0.0083
59772,0,0.0174
59773,0,0.0269
59774,0,0.0542
59775,0,0.124
59776,0,0.135
59777,0,0.2359
59778,0,0.0056
59779,0,0.0376
59780,0,0.002
59781,0,0.0285
59782,0,0.0194
59783,0,0.0439
59784,0,0.032
59785,0,0.0093
59786,0,0.3203
59787,1,0.5505
59788,0,0.0274
59789,0,0.0377
59790,0,0.0219
59791,0,0.0052
59792,0,0.0115
59793,0,0.0357
59794,1,0.9707
59795,1,0.9596
59796,0,0.008
59797,0,0.0598
59798,0,0.0076
59799,0,0.0075
59800,0,0.0606
59801,0,0.0185
59802,0,0.1104
59803,0,0.1357
59804,0,0.0774
59805,0,0.0015
59806,0,0.0129
59807,0,0.0069
59808,0,0.0075
59809,0,0.0174
59810,0,0.0067
59811,0,0.0182
59812,0,0.0089
59813,0,0.0073
59814,0,0.0067
59815,0,0.2724
59816,0,0.1758
59817,0,0.0028
59818,1,0.9139
59819,0,0.2321
59820,0,0.0308
59821,0,0.0511
59822,0,0.0199
59823,0,0.02
59824,0,0.0462
59825,0,0.0088
59826,0,0.0282
59827,0,0.1828
59828,0,0.1697
59829,0,0.0791
59830,0,0.0185
59831,0,0.01
59832,0,0.0461
59833,0,0.1418
59834,0,0.0212
59835,0,0.0156
59836,0,0.0348
59837,0,0.0645
59838,0,0.1167
59839,0,0.0431
59840,0,0.0534
59841,1,0.9734
59842,0,0.0119
59843,0,0.0313
59844,0,0.2739
59845,0,0.0546
59846,0,0.0056
59847,0,0.0279
59848,0,0.0137
59849,0,0.0017
59850,1,0.981
59851,0,0.0014
59852,0,0.015
59853,0,0.0943
59854,0,0.0023
59855,0,0.0234
59856,0,0.0083
59857,0,0.0896
59858,1,0.9702
59859,0,0.0317
59860,1,0.9479
59861,0,0.0065
59862,0,0.0136
59863,0,0.0058
59864,0,0.0104
59865,0,0.0245
59866,0,0.0668
59867,0,0.0788
59868,0,0.0119
59869,0,0.0302
59870,0,0.0021
59871,0,0.009
59872,0,0.016
59873,0,0.0056
59874,0,0.039
59875,0,0.0573
59876,0,0.0052
59877,0,0.0391
59878,1,0.9821
59879,0,0.0195
59880,1,0.9601
59881,0,0.0017
59882,0,0.0419
59883,0,0.0771
59884,0,0.0374
59885,0,0.0458
59886,0,0.0368
59887,1,0.8983
59888,0,0.016
59889,0,0.0073
59890,0,0.0104
59891,1,0.5897
59892,0,0.0065
59893,0,0.0099
59894,0,0.0209
59895,0,0.272
59896,0,0.0054
59897,0,0.0126
59898,0,0.014
59899,0,0.0176
59900,0,0.0144
59901,1,0.8607
59902,0,0.0218
59903,0,0.015
59904,0,0.0261
59905,0,0.0084
59906,0,0.3299
59907,0,0.0125
59908,0,0.0134
59909,0,0.0258
59910,0,0.0904
59911,0,0.0259
59912,0,0.0193
59913,0,0.0021
59914,0,0.1137
59915,0,0.0148
59916,0,0.0062
59917,0,0.0109
59918,0,0.0069
59919,0,0.0233
59920,0,0.0766
59921,0,0.0803
59922,0,0.0327
59923,0,0.0822
59924,0,0.0044
59925,1,0.9526
59926,0,0.0131
59927,0,0.0246
59928,0,0.007
59929,0,0.0066
59930,0,0.012
59931,0,0.0114
59932,0,0.0419
59933,0,0.0239
59934,0,0.0063
59935,0,0.006
59936,0,0.0404
59937,0,0.0792
59938,0,0.0795
59939,0,0.2724
59940,1,0.81
59941,0,0.0017
59942,0,0.0083
59943,0,0.0351
59944,0,0.0134
59945,0,0.026
59946,0,0.0314
59947,0,0.0064
59948,0,0.024
59949,1,0.9702
59950,0,0.0221
59951,0,0.0427
59952,0,0.007
59953,0,0.0892
59954,0,0.0437
59955,0,0.0018
59956,0,0.0147
59957,0,0.1162
59958,0,0.0171
59959,0,0.0228
59960,0,0.0041
59961,0,0.0373
59962,0,0.1173
59963,0,0.012
59964,0,0.0023
59965,0,0.008
59966,1,0.895
59967,0,0.0234
59968,0,0.0059
59969,0,0.0045
59970,0,0.0777
59971,1,0.9807
59972,1,0.8583
59973,0,0.0351
59974,0,0.0105
59975,0,0.0274
59976,0,0.0071
59977,0,0.0593
59978,0,0.1166
59979,0,0.0079
59980,1,0.9831
59981,0,0.017
59982,1,0.925
59983,0,0.0986
59984,0,0.0102
59985,0,0.0347
59986,0,0.0706
59987,0,0.0132
59988,0,0.0728
59989,0,0.014
59990,0,0.0421
59991,0,0.0796
59992,0,0.013
59993,0,0.0088
59994,0,0.1413
59995,1,0.9717
59996,0,0.0119
59997,0,0.0721
59998,0,0.0418
59999,0,0.0065
60000,0,0.0016
60001,0,0.0129
60002,0,0.0866
60003,0,0.0137
60004,0,0.0091
60005,0,0.0216
60006,0,0.0951
60007,0,0.0214
60008,0,0.0135
60009,0,0.0186
60010,0,0.0139
60011,0,0.0131
60012,0,0.0842
60013,0,0.0055
60014,0,0.1815
60015,0,0.026
60016,0,0.2972
60017,0,0.0233
60018,0,0.0246
60019,1,0.9407
60020,0,0.0499
60021,0,0.0154
60022,0,0.2423
60023,0,0.0318
60024,1,0.9763
60025,0,0.0302
60026,0,0.1435
60027,1,0.6495
60028,0,0.0082
60029,1,0.978
60030,1,0.5848
60031,0,0.1384
60032,0,0.0281
60033,0,0.0034
60034,0,0.0027
60035,0,0.0627
60036,0,0.0032
60037,0,0.012
60038,0,0.0275
60039,0,0.0108
60040,0,0.0361
60041,0,0.0604
60042,0,0.0181
60043,0,0.0929
60044,0,0.066
60045,0,0.0094
60046,0,0.1824
60047,0,0.026
60048,0,0.0014
60049,0,0.0428
60050,0,0.0255
60051,1,0.9842
60052,0,0.0189
60053,0,0.0231
60054,0,0.0051
60055,0,0.0292
60056,0,0.0753
